"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA370","ACC","200958","2025-09-07T18:04:00Z","Benton","Kansas","United States",,"N75675","75-5163","false","Aviation","DirectorBrief","2026-01-09T05:00:00Z","2026-01-09T19:00:00Z","None","0","0","0","0",,"The pilot's failure to maintain clearance from a moving vehicle during an evasive maneuver from a perceived conflict with another airplane. Contributing to the accident was the pilot of the other airplane’s non-standard phraseology and inaccurate position report.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Ground vehicle - Effect on operation, Personnel issues - Action/decision - (general) - (general) - Pilot of other aircraft, Personnel issues - Action/decision - Info processing/decision - (general) - Pilot",,"37.781168000000001","-97.114165999999997","BOEING","E75","AIR","1K1","LLOYD STEARMAN FLD","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200958","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200958/pdf"
"CEN25LA354","ACC","200916","2025-08-30T03:10:00Z","Baldwin City","Kansas","United States",,"N89585","15282796","false","Aviation","DirectorBrief","2025-11-14T05:00:00Z","2025-11-14T18:00:00Z","None","0","0","0","0",,"The pilot’s decision to continue the night landing without runway lights which resulted in the runway overrun.","Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Decision related to condition, Environmental issues - Operating environment - Airport facilities/design - Runway lighting - Decision related to condition, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",,"38.835788000000001","-95.181775999999999","CESSNA","152","AIR","K64","VINLAND VALLEY AERODROME","false","1","REC",,"PERS","091","Substantial","VMC","VINLAND FLIGHT SCHOOL LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200916","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200916/pdf"
"CEN25FA339","ACC","200848","2025-08-24T20:26:00Z","Concordia","Kansas","United States",,"N2757A","0494491","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"39.550083000000001","-97.646394000000001","RANS","S-12 Airaile","AIR","CNK","Blosser Municipal Airport","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200848/pdf"
"CEN25LA314","ACC","200748","2025-08-10T15:30:00Z","Goodland","Kansas","United States",,"N502WF","502B-2646","false","Aviation","DirectorBrief","2025-10-23T04:00:00Z","2025-10-23T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain aircraft control during the landing and go-around with variable wind direction and speed.","Environmental issues - Conditions/weather/phenomena - Wind - Variable wind - Contributed to outcome, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"39.370741000000002","-101.69873","AIR TRACTOR INC","AT-502B","AIR","GLD","RENNER FLD/GOODLAND MUNI","false","1","TP",,,"137","Substantial","VMC","Midwest Custom Ag Aviation, Inc","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200748","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200748/pdf"
"CEN25LA230","ACC","200447","2025-06-28T14:07:00Z","Wichita","Kansas","United States",,"N1591V","17263685","false","Aviation","DirectorBrief","2025-09-05T04:00:00Z","2025-09-05T18:00:00Z","None","0","0","0","0","0","The student pilot’s failure to maintain directional control during the takeoff that resulted in a runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"37.660884000000003","-97.417997999999997","CESSNA","172","AIR","ICT","WICHITA DWIGHT D EISENHOWER NTL","false","1","REC",,"INST","091","Substantial","VMC","AVIATION ACADEMY LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200447","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200447/pdf"
"CEN25LA208","ACC","200338","2025-06-16T14:15:00Z","New Century","Kansas","United States",,"N1UC","LW-140","false","Aviation","",,,"Minor","0","0","2","2","0",,,,"38.839910000000003","-94.889088000000001","BEECH","E-90","AIR","IXD",,"false","2",,,"INST","091","Substantial","VMC","L and P Air LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200338/pdf"
"CEN25FA166","ACC","200099","2025-05-04T14:25:00Z","Wilson","Kansas","United States",,"N98416","18604","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"38.827337999999997","-98.425813000000005","PIPER","J3C-65","AIR",,,"false","1",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200099/pdf"
"CEN25LA133","ACC","199904","2025-03-20T13:40:00Z","Liberal","Kansas","United States",,"N38871","28R-7703281","false","Aviation","DirectorBrief","2025-07-17T04:00:00Z","2025-07-17T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to extend the landing gear before landing due to distraction and his failure to conduct the prelanding checklist.","Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Personnel issues - Task performance - Use of equip/info - Use of checklist - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated, Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot, Personnel issues - Task performance - Use of equip/info - Use of checklist - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated",,"37.043920999999997","-100.95996","PIPER","PA-28R-201T","AIR","LBL","Liberal Mid America Regional","false","1","REC",,"PERS","091","Substantial","VMC","ARROW BLUE N38871 LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199904","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199904/pdf"
"CEN25LA101","ACC","199749","2025-02-20T13:30:00Z","Farlinville","Kansas","United States",,"N30413","17701240","false","Aviation","DirectorBrief","2025-05-09T04:00:00Z","2025-05-09T18:00:00Z","None","0","0","0","0","0","A loss of engine power that resulted from fuel contamination when it was treated with a 70% isopropyl alcohol solution (antiseptic) that contained water. Contributing to the accident were vague fuel treatment instructions provided by the operator.","Aircraft - Aircraft systems - Fuel system - (general) - Incorrect service/maintenance, Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Operation records - Operator, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid condition",,"38.253473","-94.790030000000002","CESSNA","177A","AIR",,,"false","1","REC",,"AOBV","091","Substantial","VMC","EAGLE SKY PATROL INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199749","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199749/pdf"
"CEN25LA064","ACC","199479","2024-12-28T15:25:00Z","Parsons","Kansas","United States",,"N719LB","1","false","Aviation","DirectorBrief","2025-04-22T04:00:00Z","2025-04-22T18:00:00Z","Serious","0","1","0","1","0","The pilot’s failure to maintain clearance from power lines while on final approach to land.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Awareness of condition",,"37.298299999999998","-95.263109999999998","Cozy","Cub","AIR","39KS","Papas Dream Airport","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199479","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199479/pdf"
"CEN25LA028","ACC","195379","2024-10-26T15:40:00Z","Rose Hill","Kansas","United States",,"N8883X","18266014","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"37.565389000000003","-97.174610999999999","CESSNA","182Q","AIR","K50","Rose Hill Cook Field","false","1",,,"SKYD","091","None","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195379/pdf"
"CEN25LA010","ACC","195290","2024-10-09T18:34:00Z","Augusta","Kansas","United States",,"N601KM","MEISTE-1","false","Aviation","DirectorBrief","2025-01-21T05:00:00Z","2025-01-21T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control during the landing roll.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Environmental issues - Physical environment - Object/animal/substance - Fence/fence post - Contributed to outcome, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"37.720502000000003","-97.047177000000005","ZODIAC","601","AIR","SN20","Brady-Pippin Airport","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195290","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195290/pdf"
"CEN24LA331","ACC","195041","2024-09-01T17:20:00Z","Kingman","Kansas","United States",,"N133LB","930202","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T17:00:00Z","None","0","0","0","0","0","The pilot’s loss of control on short final.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"37.669015999999999","-98.123891999999998","LET","L 33 SOLO","GLI","N/A","N/A","false","0",,,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195041","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195041/pdf"
"CEN24LA335","ACC","195045","2024-08-31T12:30:00Z","Lawrence","Kansas","United States",,"N29411","17700871","false","Aviation","DirectorBrief","2025-01-10T05:00:00Z","2025-01-10T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control during takeoff.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"39.011110000000002","-95.216471999999996","CESSNA","177","AIR","LWC","Lawrence Regional Airport","false",,"REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195045","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195045/pdf"
"CEN24LA262","ACC","194688","2024-07-12T14:21:00Z","Hackney","Kansas","United States",,"N1078P","S60111-068","false","Aviation","DirectorBrief","2024-08-30T04:00:00Z","2024-08-30T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control during the landing roll in a gusting wind condition.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Crosswind correction - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation",,"37.172389000000003","-97.034052000000003","SKYSTAR","KITFOX","AIR","WLD","Strother Field Airport","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194688","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194688/pdf"
"CEN24FA248","ACC","194615","2024-07-05T08:01:00Z","Andale","Kansas","United States",,"N51017","F883417","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"37.785110000000003","-97.638388000000006","FABER VINCENT L","SCORPION 133","HELI",,,"true","1",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194615/pdf"
"CEN24FA243","ACC","194576","2024-06-30T17:52:00Z","Selden","Kansas","United States",,"N14137","4223","false","Aviation","",,,"Fatal","2","0","0","2",,,,,"39.494388999999998","-100.46117","WACO","YKC","AIR",,,"false","1",,,"PERS","091","Destroyed","IMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194576/pdf"
"CEN24LA238","ACC","194533","2024-06-23T09:45:00Z","Fort Leavenworth","Kansas","United States",,"N74CF","18502557","false","Aviation","DirectorBrief","2024-08-30T04:00:00Z","2024-08-30T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control after landing.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"39.3675","-94.914299999999997","CESSNA","A185F","AIR","FLV","Sherman Field","false","1","REC","NSCH","PERS","091","Substantial","VMC","WINCAR AIR LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194533","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194533/pdf"
"CEN24LA193","ACC","194284","2024-05-18T20:15:00Z","Covert","Kansas","United States",,"N15189","502-0155","false","Aviation","",,,"None","0","0","0","0",,,,,"39.234419000000003","-98.701145999999994","AIR TRACTOR INC","AT-502","AIR",,,"false","1",,,"AAPL","137","Substantial","VMC","TRI ROTOR SPRAY & CHEMICAL","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194284/pdf"
"CEN24LA196","ACC","194298","2024-05-11T13:45:00Z","New Century","Kansas","United States",,"N3574C, N234X","28-8016200, 75-260","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T18:00:00Z","None","0","0","0","0","0","The inability of the Boeing 75 pilot to anticipate that the Piper would stop earlier on the taxiway which resulted in the on-ground collision.","Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot of other aircraft",,"38.819415999999997","-94.892538000000002","PIPER, BOEING","PA28, 75","AIR, AIR","IXD","New Century Air Center","false, false","1, 1","REC, REC","NSCH","INST, OWRK","091, 091","Substantial, Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194298","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194298/pdf"
"CEN24LA166","ACC","194151","2024-04-24T16:45:00Z","Emporia","Kansas","United States",,"N16148","11051714","false","Aviation","DirectorBrief","2024-07-18T04:00:00Z","2024-07-18T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control during the landing flare.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained",,"38.332675000000002","-96.191215999999997","RANS","S-6ES","AIR","EMP","Emporia","true","1","REC","NSCH","PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194151","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194151/pdf"
"CEN24LA143","ACC","194011","2024-03-29T12:20:00Z","Moran","Kansas","United States",,"N910GX","54131","false","Aviation","DirectorBrief","2024-07-18T04:00:00Z","2024-07-18T17:00:00Z","None","0","0","0","0","0","An in-flight collision with birds while in cruise flight.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"37.850000000000001","-95.216667000000001","BELL HELICOPTER TEXTRON CANADA","407","HELI","CNU",,"false","1","TS","NSCH","OWRK","135","Substantial","VMC","MED TRANS CORP","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194011","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194011/pdf"
"CEN24LA060","ACC","193514","2023-12-11T20:30:00Z","Anthony","Kansas","United States",,"N8729P","24-4179","false","Aviation","DirectorBrief","2025-10-22T04:00:00Z","2025-10-22T17:00:00Z","Serious","0","1","0","1","0","A failure of the airplane’s alternator, which resulted in a loss of electrical power, and the pilot’s failure to use the emergency gear extension procedure during the initial landing approach, which led to a gear-up landing.","Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Action/decision - Action - Lack of action - Pilot, Aircraft - Aircraft systems - Electrical power system - Alternator-generator drive sys - Failure",,"37.159899000000003","-98.079526000000001","PIPER","PA-24-260","AIR","ANY","ANTHONY MUNI","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193514","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193514/pdf"
"CEN24LA022","ACC","193294","2023-10-21T19:35:00Z","Iola","Kansas","United States",,"N5324F","28-7790088","false","Aviation","DirectorBrief","2024-02-29T05:00:00Z","2024-02-29T18:00:00Z","Minor","0","0","1","1","0","The pilot’s inadequate fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome",,"37.873610999999997","-95.353333000000006","PIPER","PA-28-181","AIR",,,"false","1","REC","NSCH","PERS","091","Substantial","VMC","Toby Baker","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193294","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193294/pdf"
"CEN24LA031","ACC","193345","2023-10-21T08:28:00Z","Manhattan","Kansas","United States",,"N52631","A181PEG","false","Aviation","DirectorBrief","2024-05-30T04:00:00Z","2024-05-30T17:00:00Z","Serious","0","2","0","2","0","The pilot’s improper modification of the engine cooling system that resulted in an engine overheat and total loss of power. Contributing to the accident was the pilot’s decision to continue the flight after the engine overheat light illuminated instead of performing a precautionary landing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng liquid cooling - Incorrect use/operation, Personnel issues - Action/decision - Action - Unnecessary action - Pilot, Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Failure",,"39.246181","-96.594065000000001","POWRACHUTE","PEGASUS","PPAR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193345","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193345/pdf"
"CEN24LA019","ACC","193286","2023-10-20T18:55:00Z","Wichita","Kansas","United States",,"N1413Y","17249113","false","Aviation","DirectorBrief","2024-04-12T04:00:00Z","2024-04-12T17:00:00Z","None","0","0","0","0",,"The pilot’s inadequate preflight inspection and fuel planning and improper in-flight decision-making, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot",,"37.676924","-97.393675999999999","CESSNA","172C","AIR","ICT","Dwight D Eisenhower","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193286","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193286/pdf"
"CEN24LA002","ACC","193175","2023-10-01T13:02:00Z","Olathe","Kansas","United States",,"N357HT","18267806","false","Aviation","DirectorBrief","2025-02-05T05:00:00Z","2025-02-05T18:00:00Z","None","0","0","0","0","0","The pilot’s mismanagement of the available fuel which resulted in a total loss of engine power due to fuel starvation.","Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Environmental issues - Physical environment - Terrain - (general) - Effect on equipment, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management",,"38.840000000000003","-94.730000000000004","CESSNA","182R","AIR","OJC","Johnson County Executive","false","1","REC","NSCH","PERS","091","Substantial","VMC","MULLENAX RICHARD D","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193175","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193175/pdf"
"CEN23LA425","ACC","193176","2023-09-28T11:30:00Z","Herington","Kansas","United States",,"N445HA","802-0633","false","Aviation","DirectorBrief","2024-11-07T05:00:00Z","2024-11-07T19:00:00Z","None","0","0","0","0","0","The design of the spray valve control lever, which restricted the range of the left rear rudder and brake pedal and resulted in a loss of control during landing.","Aircraft - Aircraft systems - Flight control system - Rudder control system - Design, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible",,"38.691477999999996","-96.806933000000001","AIR TRACTOR INC","AT-802","AIR","HRU","HERINGTON RGNL","false","1","TP",,"INST","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193176","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193176/pdf"
"CEN23LA388","ACC","192968","2023-08-30T13:14:00Z","Wichita","Kansas","United States",,"N9663X","21057963","false","Aviation","DirectorBrief","2025-09-17T04:00:00Z","2025-09-17T17:00:00Z","Minor","0","0","3","3",,"Loss of engine power for reasons that could not be determined.","Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome, Aircraft - Aircraft power plant - (general) - (general) - Unknown/Not determined",,"37.649951999999999","-97.433042999999998","CESSNA","210B","AIR","ICT","WICHITA DWIGHT D EISENHOWER NTL","false","1","REC",,"INST","091","Substantial","VMC","SKYNAVY AVIATION LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192968","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192968/pdf"
